"commune","time","nationality","age","value"
"Vienna 7th district, Neubau <907> ",1981,"Austria.","Up.to.14.years.old.","3,184"
"Vienna 7th district, Neubau <907> ",1991,"Austria.","Up.to.14.years.old.","3,065"
"Vienna 7th district, Neubau <907> ",2001,"Austria.","Up.to.14.years.old.","2,636"
"Vienna 7th district, Neubau <907> ",2002,"Austria.","Up.to.14.years.old.","2,671"
"Vienna 7th district, Neubau <907> ",2003,"Austria.","Up.to.14.years.old.","2,673"
"Vienna 7th district, Neubau <907> ",2004,"Austria.","Up.to.14.years.old.","2,664"
"Vienna 7th district, Neubau <907> ",2005,"Austria.","Up.to.14.years.old.","2,667"
"Vienna 7th district, Neubau <907> ",2006,"Austria.","Up.to.14.years.old.","2,726"
"Vienna 7th district, Neubau <907> ",2007,"Austria.","Up.to.14.years.old.","2,739"
"Vienna 7th district, Neubau <907> ",2008,"Austria.","Up.to.14.years.old.","2,690"
"Vienna 7th district, Neubau <907> ",2009,"Austria.","Up.to.14.years.old.","2,631"
"Vienna 7th district, Neubau <907> ",2010,"Austria.","Up.to.14.years.old.","2,635"
"Vienna 7th district, Neubau <907> ",2011,"Austria.","Up.to.14.years.old.","2,564"
"Vienna 7th district, Neubau <907> ",2012,"Austria.","Up.to.14.years.old.","2,529"
"Vienna 7th district, Neubau <907> ",2013,"Austria.","Up.to.14.years.old.","2,517"
"Vienna 7th district, Neubau <907> ",2014,"Austria.","Up.to.14.years.old.","2,488"
"Vienna 7th district, Neubau <907> ",2015,"Austria.","Up.to.14.years.old.","2,452"
"Vienna 8th district, Josefstadt <908> ",1971,"Austria.","Up.to.14.years.old.","3,490"
"Vienna 8th district, Josefstadt <908> ",1981,"Austria.","Up.to.14.years.old.","2,769"
"Vienna 8th district, Josefstadt <908> ",1991,"Austria.","Up.to.14.years.old.","2,440"
"Vienna 8th district, Josefstadt <908> ",2001,"Austria.","Up.to.14.years.old.","2,161"
"Vienna 8th district, Josefstadt <908> ",2002,"Austria.","Up.to.14.years.old.","2,164"
"Vienna 8th district, Josefstadt <908> ",2003,"Austria.","Up.to.14.years.old.","2,170"
"Vienna 8th district, Josefstadt <908> ",2004,"Austria.","Up.to.14.years.old.","2,154"
"Vienna 8th district, Josefstadt <908> ",2005,"Austria.","Up.to.14.years.old.","2,163"
"Vienna 8th district, Josefstadt <908> ",2006,"Austria.","Up.to.14.years.old.","2,153"
"Vienna 8th district, Josefstadt <908> ",2007,"Austria.","Up.to.14.years.old.","2,108"
"Vienna 8th district, Josefstadt <908> ",2008,"Austria.","Up.to.14.years.old.","2,091"
"Vienna 8th district, Josefstadt <908> ",2009,"Austria.","Up.to.14.years.old.","2,030"
"Vienna 8th district, Josefstadt <908> ",2010,"Austria.","Up.to.14.years.old.","1,972"
"Vienna 8th district, Josefstadt <908> ",2011,"Austria.","Up.to.14.years.old.","1,981"
"Vienna 8th district, Josefstadt <908> ",2012,"Austria.","Up.to.14.years.old.","1,946"
"Vienna 8th district, Josefstadt <908> ",2013,"Austria.","Up.to.14.years.old.","1,921"
"Vienna 8th district, Josefstadt <908> ",2014,"Austria.","Up.to.14.years.old.","1,963"
"Vienna 8th district, Josefstadt <908> ",2015,"Austria.","Up.to.14.years.old.","1,907"
"Vienna 9th district, Alsergrund <909> ",1971,"Austria.","Up.to.14.years.old.","6,532"
"Vienna 9th district, Alsergrund <909> ",1981,"Austria.","Up.to.14.years.old.","4,699"
"Vienna 9th district, Alsergrund <909> ",1991,"Austria.","Up.to.14.years.old.","4,036"
"Vienna 9th district, Alsergrund <909> ",2001,"Austria.","Up.to.14.years.old.","3,389"
"Vienna 9th district, Alsergrund <909> ",2002,"Austria.","Up.to.14.years.old.","3,412"
"Vienna 9th district, Alsergrund <909> ",2003,"Austria.","Up.to.14.years.old.","3,365"
"Vienna 9th district, Alsergrund <909> ",2004,"Austria.","Up.to.14.years.old.","3,421"
"Vienna 9th district, Alsergrund <909> ",2005,"Austria.","Up.to.14.years.old.","3,361"
